ident,type,name,latitude_deg,longitude_deg,municipality,iso_region,icao_code,gps_code
YJVS,small_airport,Jervois Airport,-22.9133,136.119995,,AU-NT,YJVS,YJVS
YJWB,small_airport,Jowalbinna Airport,-15.73330020904541,144.26699829101562,,AU-QLD,,YJWB
YKAE,small_airport,Kalannie Airport,-30.360004,117.121634,,AU-WA,,YKAE
YKAJ,small_airport,Kajabbi Airport,-20.033300399780273,140.0330047607422,,AU-QLD,,YKAJ
YKAL,small_airport,Kalumburu Airport,-14.28784,126.633182,Kalumburu,AU-WA,YKAL,YKAL
YKAN,small_airport,Kanandah Airport,-30.899822,124.862065,,AU-WA,,YKAN
YKAP,small_airport,Kapunda Airport,-34.247027,138.914105,Kapunda,AU-SA,,YKAP
YKAR,small_airport,Karara Airport,-29.217223,116.687154,Karara,AU-WA,YKAR,YKAR
YKAT,small_airport,Katoomba Airport,-33.667818,150.322741,,AU-NSW,YKAT,YKAT
YKAY,small_airport,Kayrunnera Airport,-30.679257,142.537136,,AU-NSW,,YKAY
YKBA,small_airport,Ken's Bore airport,-22.15722,116.156223,Ken's Bore,AU-WA,,YKBA
YKBG,small_airport,Koolyanobbing Range Airport,-30.840599060058594,119.52899932861328,,AU-WA,,YKBG
YKBL,small_airport,Kambalda Airport,-31.1907,121.5978,Kambalda West,AU-WA,YKBL,YKBL
YKBN,small_airport,Kooralbyn Airport,-28.089331,152.846544,,AU-QLD,,YKBN
YKBR,small_airport,Kalbarri Airport,-27.692813,114.259169,Kalbarri,AU-WA,YKBR,YKBR
YKBY,small_airport,Streaky Bay Airport,-32.836621,134.292991,,AU-SA,YKBY,YKBY
YKCA,small_airport,Kings Canyon Airport,-24.260229,131.488924,Petermann,AU-NT,YKCA,YKCA
YKCK,small_airport,Killiecrankie Airfield,-39.848801,147.858002,Killiecrankie,AU-TAS,,YKCK
YKCS,small_airport,Kings Creek Airport,-24.421285,131.819458,Petermann,AU-NT,YKCS,YKCS
YKDD,small_airport,Koodaideri Mine Airport,-22.504291,119.07683,Koodaideri Mine,AU-WA,,YKDD
YKDI,small_airport,Kadina Airport,-33.96963,137.659748,,AU-SA,,YKDI
YKDL,small_airport,Kondoolka Airport,-32.02389907836914,134.86099243164062,,AU-SA,,YKDL
YKDM,small_airport,Kidman Springs Airport,-16.11669921875,130.9530029296875,,AU-NT,,YKDM
YKDN,small_airport,Kondinin Airport,-32.467409,118.269882,,AU-WA,,YKDN
YKEB,small_airport,Kellerberrin Airport,-31.616819,117.718787,,AU-WA,,YKEB
YKEL,small_airport,Kelvin Station Airport,-30.655000686645508,151.63800048828125,,AU-NSW,,YKEL
YKEN,small_airport,Kenmore Park Airport,-26.33329963684082,132.4669952392578,,AU-SA,,YKEN
YKEP,small_airport,Lake Keepit Airport,-30.8911034242,150.526149273,,AU-NSW,,YKEP
YKER,medium_airport,Kerang Airport,-35.751399993896484,143.93899536132812,,AU-VIC,YKER,YKER
YKFC,small_airport,Kingfisher Camp Airport,-17.84945,138.28871,,AU-QLD,,YKFC
YKGA,small_airport,Kingoonya Airport,-30.914376,135.307252,Kingoonya,AU-SA,,YKGA
YKHA,small_airport,Khancoban Airport,-36.215919970399995,148.113742828,,AU-NSW,,YKHA
YKHG,small_airport,Katherine Gorge Airport,-14.385302,132.39315,,AU-NT,,YKHG
YKHO,heliport,Kholo Helipad,-27.497651,152.774335,Fernvale,AU-QLD,,YKHO
YKIA,small_airport,Kiana Station Airport,-17.24169921875,136.1750030517578,,AU-NT,,YKIA
YKIC,small_airport,Kiwirrkurra Airstrip,-22.810978,127.734411,,AU-WA,,YKIC
YKID,small_airport,Kidston Airport,-18.8700008392334,144.17300415039062,,AU-QLD,,YKID
YKIG,small_airport,Kingston Airport,-36.823299407958984,139.875,,AU-SA,,YKIG
YKII,medium_airport,King Island Airport,-39.877498626708984,143.8780059814453,,AU-TAS,YKII,YKII
YKIL,small_airport,Kildurk Airport,-16.431699752807617,129.61500549316406,,AU-NT,,YKIL
YKIR,small_airport,Kirkimbie Station Airport,-17.7791996002,129.210006714,Kirkimbie,AU-NT,,YKIR
YKIU,small_airport,Kaiuroo Airport,-23.088925,149.431925,,AU-QLD,,YKIU
YKKG,small_airport,Kalkgurung Airport,-17.431900024414062,130.80799865722656,,AU-NT,YKKG,YKKG
YKKH,small_airport,Kokatha Airport,-31.29170036315918,135.24200439453125,,AU-SA,,YKKH
YKKN,small_airport,Kin Kin Retreat Airstrip,-34.378925,116.322362,,AU-WA,,YKKN
YKLA,small_airport,Koolatah Airport,-15.888484,142.439461,Maramie,AU-QLD,YKLA,YKLA
YKLB,small_airport,Koolburra Airport,-15.318900108337402,143.9550018310547,Koolburra,AU-QLD,YKLB,YKLB
YKLC,small_airport,Koolan Central Airport,-16.125,123.735,Koolan Island,AU-WA,,YKLC
YKLE,small_airport,Killarney Airport,-16.25,131.7469940185547,,AU-NT,,YKLE
YKLG,small_airport,Kalinga Airport,-15.202823,143.850217,,AU-QLD,,YKLG
YKLL,small_airport,Kallala Airport,-21.75,138.88299560546875,,AU-QLD,,YKLL
YKLN,small_airport,Killarney Airport,-15.399999618530273,143.5,,AU-QLD,,YKLN
YKLR,small_airport,Kalamurina Airport,-27.716699600219727,138.26199340820312,,AU-SA,,YKLR
YKMB,small_airport,Karumba Airport,-17.45669937133789,140.8300018310547,,AU-QLD,YKMB,YKMB
YKML,small_airport,Kamileroi Airport,-19.375,140.0570068359375,,AU-QLD,YKML,YKML
YKMP,medium_airport,Kempsey Airport,-31.07232,152.765313,,AU-NSW,YKMP,YKMP
YKNG,small_airport,Katanning Airport,-33.699423,117.65703,,AU-WA,YKNG,YKNG
YKNM,small_airport,Koonmarra Airport,-26.274628,117.78896,,AU-WA,,YKNM
YKNP,small_airport,Kununoppin Airport,-31.123497,117.906046,,AU-WA,,YKNP
YKNT,small_airport,Kintore Airport,-23.264999389648438,129.38699340820312,,AU-NT,,YKNT
YKNV,small_airport,Kaniva Airport,-36.340918,141.267964,Kaniva,AU-VIC,,YKNV
YKOG,small_airport,Koongarra Airport,-36,142.2169952392578,,AU-VIC,,YKOG
YKOJ,small_airport,Kojonup Airport,-33.762523,117.136574,,AU-WA,,YKOJ
YKOK,small_airport,Kookynie Airport,-29.34328,121.493168,,AU-WA,,YKOK
YKOL,small_airport,Kolendo Airport,-32.41579818725586,136.29800415039062,,AU-SA,,YKOL
YKOW,medium_airport,Kowanyama Airport,-15.485369,141.752572,Kowanyama,AU-QLD,YKOW,YKOW
YKPR,small_airport,Kalpowar Airport,-14.89,144.22,Kalpower,AU-QLD,YKPR,YKPR
YKRV,small_airport,Kendall River Airport,-13.74389,142.130985,,AU-QLD,,YKRV
YKRY,medium_airport,Kingaroy Airport,-26.581077,151.839927,,AU-QLD,YKRY,YKRY
YKSC,medium_airport,Kingscote Airport,-35.71390151977539,137.52099609375,,AU-SA,YKSC,YKSC
